id,product_name,category,brand,price,rating,in_stock,description
32,HyperX Gaming Chair 909Max,Gaming,HyperX,2305.67,3.4,True,HyperX Gaming Chair 909Max - Built with cutting-edge technology for superior experience. Perfect for gaming.
33,Zenith Smartwatch 417X,Electronics,Zenith,1476.93,3.0,False,Zenith Smartwatch 417X - Comfortable ergonomic design with long-lasting battery life. Perfect for travel.
34,Strive Soundbar 999Pro,Audio,Strive,2141.06,4.0,True,Strive Soundbar 999Pro - Comfortable ergonomic design with long-lasting battery life. Perfect for gaming.
35,Volt Business Laptop 510X,Laptops,Volt,1950.79,1.2,False,Volt Business Laptop 510X - Built with cutting-edge technology for superior experience. Perfect for office work.
36,Fusion Sandals 716Lite,Footwear,Fusion,474.55,3.1,True,Fusion Sandals 716Lite - Built with cutting-edge technology for superior experience. Perfect for travel.
37,Strive Tablet 781Pro,Electronics,Strive,470.53,3.2,True,Strive Tablet 781Pro - High durability with modern aesthetics. Perfect for daily use.
38,Eclipse Chromebook 787Pro,Laptops,Eclipse,543.86,2.0,True,Eclipse Chromebook 787Pro - Comfortable ergonomic design with long-lasting battery life. Perfect for daily use.
39,Prime Gaming Mouse 442Lite,Peripherals,Prime,2113.31,4.9,True,Prime Gaming Mouse 442Lite - Premium build quality with advanced features. Perfect for travel.
40,HyperX Noise Cancelling Headphones 718Max,Audio,HyperX,134.08,1.4,False,HyperX Noise Cancelling Headphones 718Max - Compact and lightweight for easy portability. Perfect for travel.
41,Zenith Gaming Mouse 338X,Peripherals,Zenith,2521.91,2.6,False,Zenith Gaming Mouse 338X - Comfortable ergonomic design with long-lasting battery life. Perfect for office work.
42,Vertex Running Shoes 801S,Footwear,Vertex,1420.27,3.0,True,Vertex Running Shoes 801S - Designed for everyday performance and reliability. Perfect for daily use.
43,Fusion Gaming Laptop 924Pro,Laptops,Fusion,124.54,3.2,True,Fusion Gaming Laptop 924Pro - Designed for everyday performance and reliability. Perfect for daily use.
44,HyperX Phone Case 132Max,Accessories,HyperX,2263.16,4.8,False,HyperX Phone Case 132Max - Premium build quality with advanced features. Perfect for travel.
45,HyperX 4K Monitor 536Lite,Peripherals,HyperX,2759.57,2.7,True,HyperX 4K Monitor 536Lite - Optimized for productivity and entertainment. Perfect for daily use.
46,Zenith Sandals 916X,Footwear,Zenith,812.6,4.0,True,Zenith Sandals 916X - Built with cutting-edge technology for superior experience. Perfect for gaming.
47,Strive Mechanical Keyboard 512Max,Peripherals,Strive,199.04,2.0,False,Strive Mechanical Keyboard 512Max - Designed for everyday performance and reliability. Perfect for travel.
48,Volt Hiking Boots 561S,Footwear,Volt,1254.71,2.5,True,Volt Hiking Boots 561S - Comfortable ergonomic design with long-lasting battery life. Perfect for office work.
49,Volt Smartwatch 592Max,Electronics,Volt,2903.71,4.2,False,Volt Smartwatch 592Max - Designed for everyday performance and reliability. Perfect for multimedia.
50,Vertex Controller 439Pro,Gaming,Vertex,2017.13,3.0,False,Vertex Controller 439Pro - Engineered for gamers and power users. Perfect for daily use.
51,Zenith Sandals 952X,Footwear,Zenith,1591.34,3.7,True,Zenith Sandals 952X - Comfortable ergonomic design with long-lasting battery life. Perfect for gaming.
52,NovaTech Camera 175Pro,Electronics,NovaTech,1590.8,4.0,False,NovaTech Camera 175Pro - Engineered for gamers and power users. Perfect for gaming.
53,Orbit Business Laptop 727Max,Laptops,Orbit,1120.83,4.2,True,Orbit Business Laptop 727Max - Engineered for gamers and power users. Perfect for daily use.
54,CoreX VR Headset 946Pro,Gaming,CoreX,441.17,3.5,False,CoreX VR Headset 946Pro - Optimized for productivity and entertainment. Perfect for gaming.
55,Vertex Hiking Boots 125Pro,Footwear,Vertex,1304.96,4.4,False,Vertex Hiking Boots 125Pro - High durability with modern aesthetics. Perfect for multimedia.
56,Eclipse Camera 219S,Electronics,Eclipse,2628.71,2.0,True,Eclipse Camera 219S - Comfortable ergonomic design with long-lasting battery life. Perfect for gaming.
57,Eclipse Hiking Boots 812Max,Footwear,Eclipse,936.92,2.7,False,Eclipse Hiking Boots 812Max - Compact and lightweight for easy portability. Perfect for office work.
58,Fusion Ultrabook 370Pro,Laptops,Fusion,946.75,4.6,True,Fusion Ultrabook 370Pro - Premium build quality with advanced features. Perfect for multimedia.
59,Prime Drone 264S,Electronics,Prime,799.88,2.2,True,Prime Drone 264S - Optimized for productivity and entertainment. Perfect for multimedia.
60,Eclipse Gaming Console 378Lite,Gaming,Eclipse,251.24,2.6,True,Eclipse Gaming Console 378Lite - High durability with modern aesthetics. Perfect for travel.
61,CoreX Sandals 920X,Footwear,CoreX,1609.2,3.5,True,CoreX Sandals 920X - Comfortable ergonomic design with long-lasting battery life. Perfect for multimedia.
62,CoreX Gaming Mouse 608X,Peripherals,CoreX,517.23,1.4,True,CoreX Gaming Mouse 608X - Comfortable ergonomic design with long-lasting battery life. Perfect for travel.
63,Nimbus Business Laptop 670Pro,Laptops,Nimbus,771.53,4.5,False,Nimbus Business Laptop 670Pro - Engineered for gamers and power users. Perfect for office work.
64,Zenith Sandals 652X,Footwear,Zenith,2823.49,1.6,False,Zenith Sandals 652X - Designed for everyday performance and reliability. Perfect for office work.
65,Fusion Bluetooth Speaker 732S,Audio,Fusion,2094.62,4.3,False,Fusion Bluetooth Speaker 732S - Designed for everyday performance and reliability. Perfect for travel.
66,Quantum Backpack 608S,Accessories,Quantum,2858.93,3.7,False,Quantum Backpack 608S - Engineered for gamers and power users. Perfect for gaming.
67,Aero Smart Wallet 970Pro,Accessories,Aero,1687.08,1.0,False,Aero Smart Wallet 970Pro - Premium build quality with advanced features. Perfect for gaming.
68,Fusion Soundbar 240X,Audio,Fusion,123.4,1.7,False,Fusion Soundbar 240X - Engineered for gamers and power users. Perfect for daily use.
69,Nimbus Hiking Boots 791Max,Footwear,Nimbus,777.7,3.8,False,Nimbus Hiking Boots 791Max - Premium build quality with advanced features. Perfect for travel.
70,Nimbus Business Laptop 573S,Laptops,Nimbus,2053.51,2.8,False,Nimbus Business Laptop 573S - Engineered for gamers and power users. Perfect for office work.
71,Pulse Noise Cancelling Headphones 965S,Audio,Pulse,421.34,2.7,False,Pulse Noise Cancelling Headphones 965S - Built with cutting-edge technology for superior experience. Perfect for travel.
72,Volt Sandals 115Max,Footwear,Volt,2628.25,3.8,False,Volt Sandals 115Max - Premium build quality with advanced features. Perfect for multimedia.
73,Zenith Gaming Laptop 159S,Laptops,Zenith,2458.17,3.9,True,Zenith Gaming Laptop 159S - Optimized for productivity and entertainment. Perfect for office work.
74,Nimbus Sneakers 346Lite,Footwear,Nimbus,81.66,3.6,False,Nimbus Sneakers 346Lite - High durability with modern aesthetics. Perfect for travel.
75,CoreX Gaming Console 399X,Gaming,CoreX,1034.61,1.9,False,CoreX Gaming Console 399X - Optimized for productivity and entertainment. Perfect for office work.
76,Volt VR Headset 881Lite,Gaming,Volt,2024.77,3.0,False,Volt VR Headset 881Lite - Compact and lightweight for easy portability. Perfect for office work.
77,Vertex Phone Case 826X,Accessories,Vertex,658.4,1.6,False,Vertex Phone Case 826X - Compact and lightweight for easy portability. Perfect for gaming.
78,Quantum Controller 858X,Gaming,Quantum,89.13,2.8,True,Quantum Controller 858X - Optimized for productivity and entertainment. Perfect for travel.
79,Volt Running Shoes 255X,Footwear,Volt,1242.28,4.9,False,Volt Running Shoes 255X - Optimized for productivity and entertainment. Perfect for gaming.
80,HyperX Business Laptop 463X,Laptops,HyperX,1477.47,1.8,True,HyperX Business Laptop 463X - Designed for everyday performance and reliability. Perfect for multimedia.
81,Quantum Chromebook 524Max,Laptops,Quantum,509.37,4.1,True,Quantum Chromebook 524Max - Engineered for gamers and power users. Perfect for daily use.
82,Fusion Webcam 935Max,Peripherals,Fusion,67.73,4.1,False,Fusion Webcam 935Max - Premium build quality with advanced features. Perfect for office work.
83,Strive Sandals 553X,Footwear,Strive,1298.0,2.2,True,Strive Sandals 553X - Designed for everyday performance and reliability. Perfect for daily use.
84,Quantum 4K Monitor 576Max,Peripherals,Quantum,1282.26,4.7,False,Quantum 4K Monitor 576Max - Premium build quality with advanced features. Perfect for travel.
85,Zenith Bluetooth Speaker 702Pro,Audio,Zenith,1460.42,2.4,True,Zenith Bluetooth Speaker 702Pro - Premium build quality with advanced features. Perfect for multimedia.
86,Nimbus Noise Cancelling Headphones 837Lite,Audio,Nimbus,1688.58,4.1,True,Nimbus Noise Cancelling Headphones 837Lite - High durability with modern aesthetics. Perfect for travel.
87,HyperX Smartphone 829Pro,Electronics,HyperX,182.4,4.0,False,HyperX Smartphone 829Pro - Compact and lightweight for easy portability. Perfect for daily use.
88,Orbit Gaming Console 806S,Gaming,Orbit,1318.33,4.3,True,Orbit Gaming Console 806S - High durability with modern aesthetics. Perfect for travel.
89,Fusion VR Headset 260Lite,Gaming,Fusion,2067.95,2.9,True,Fusion VR Headset 260Lite - Comfortable ergonomic design with long-lasting battery life. Perfect for office work.
90,Volt Laptop Sleeve 100Pro,Accessories,Volt,2024.39,4.1,True,Volt Laptop Sleeve 100Pro - Designed for everyday performance and reliability. Perfect for gaming.
91,Pulse Soundbar 642Lite,Audio,Pulse,2371.72,4.1,True,Pulse Soundbar 642Lite - Built with cutting-edge technology for superior experience. Perfect for gaming.
92,Eclipse Phone Case 603S,Accessories,Eclipse,679.33,4.5,True,Eclipse Phone Case 603S - Built with cutting-edge technology for superior experience. Perfect for multimedia.
93,HyperX Business Laptop 453S,Laptops,HyperX,1245.54,3.7,True,HyperX Business Laptop 453S - Designed for everyday performance and reliability. Perfect for daily use.
94,Fusion Smart Wallet 751S,Accessories,Fusion,895.26,2.9,False,Fusion Smart Wallet 751S - Designed for everyday performance and reliability. Perfect for multimedia.
95,CoreX Smartwatch 239X,Electronics,CoreX,2770.75,2.9,False,CoreX Smartwatch 239X - Premium build quality with advanced features. Perfect for travel.
96,Nimbus Gaming Console 250Max,Gaming,Nimbus,438.19,1.4,False,Nimbus Gaming Console 250Max - Compact and lightweight for easy portability. Perfect for multimedia.
97,Strive Wireless Earbuds 960Max,Audio,Strive,586.94,4.2,False,Strive Wireless Earbuds 960Max - Comfortable ergonomic design with long-lasting battery life. Perfect for travel.
98,Nimbus VR Headset 632Pro,Gaming,Nimbus,2100.08,2.2,False,Nimbus VR Headset 632Pro - Compact and lightweight for easy portability. Perfect for gaming.
99,Nimbus Tablet 134Lite,Electronics,Nimbus,2234.97,4.4,True,Nimbus Tablet 134Lite - High durability with modern aesthetics. Perfect for travel.
100,HyperX Smartwatch 218S,Electronics,HyperX,732.82,4.8,False,HyperX Smartwatch 218S - Engineered for gamers and power users. Perfect for multimedia.
101,Fusion Gaming Laptop 966X,Laptops,Fusion,716.07,1.3,True,Fusion Gaming Laptop 966X - Comfortable ergonomic design with long-lasting battery life. Perfect for travel.
102,Aero Tablet 554Pro,Electronics,Aero,2771.53,4.8,True,Aero Tablet 554Pro - Built with cutting-edge technology for superior experience. Perfect for daily use.
103,Eclipse Tablet 767S,Electronics,Eclipse,2937.47,2.0,True,Eclipse Tablet 767S - Compact and lightweight for easy portability. Perfect for multimedia.
104,CoreX Smartphone 408S,Electronics,CoreX,1032.67,3.0,True,CoreX Smartphone 408S - Comfortable ergonomic design with long-lasting battery life. Perfect for travel.
105,CoreX Gaming Mouse 430Pro,Peripherals,CoreX,1175.45,2.7,False,CoreX Gaming Mouse 430Pro - Engineered for gamers and power users. Perfect for office work.
106,Zenith Gaming Console 261Max,Gaming,Zenith,1335.81,1.8,False,Zenith Gaming Console 261Max - Premium build quality with advanced features. Perfect for gaming.
107,Orbit 4K Monitor 447Max,Peripherals,Orbit,1152.98,2.1,False,Orbit 4K Monitor 447Max - Designed for everyday performance and reliability. Perfect for gaming.
108,Eclipse Gaming Laptop 207S,Laptops,Eclipse,1135.97,2.3,True,Eclipse Gaming Laptop 207S - Compact and lightweight for easy portability. Perfect for travel.
109,Prime Controller 576Max,Gaming,Prime,2870.46,1.4,False,Prime Controller 576Max - Compact and lightweight for easy portability. Perfect for travel.
110,Pulse Gaming Console 232X,Gaming,Pulse,510.89,1.9,False,Pulse Gaming Console 232X - Optimized for productivity and entertainment. Perfect for daily use.
111,Zenith Phone Case 464Pro,Accessories,Zenith,1166.13,3.0,False,Zenith Phone Case 464Pro - Premium build quality with advanced features. Perfect for gaming.
112,Orbit Hiking Boots 122Lite,Footwear,Orbit,746.43,4.8,True,Orbit Hiking Boots 122Lite - Designed for everyday performance and reliability. Perfect for gaming.
113,HyperX Gaming Mouse 891X,Peripherals,HyperX,761.69,3.0,False,HyperX Gaming Mouse 891X - High durability with modern aesthetics. Perfect for daily use.
114,Prime Gaming Console 916Lite,Gaming,Prime,2880.85,4.6,False,Prime Gaming Console 916Lite - Premium build quality with advanced features. Perfect for travel.
115,Prime Laptop Sleeve 123Max,Accessories,Prime,1212.99,4.8,False,Prime Laptop Sleeve 123Max - High durability with modern aesthetics. Perfect for multimedia.
116,Vertex Hiking Boots 646S,Footwear,Vertex,483.17,1.0,False,Vertex Hiking Boots 646S - Designed for everyday performance and reliability. Perfect for travel.
117,Orbit Wireless Earbuds 390Pro,Audio,Orbit,1828.05,3.3,False,Orbit Wireless Earbuds 390Pro - Designed for everyday performance and reliability. Perfect for travel.
118,Vertex Noise Cancelling Headphones 833Lite,Audio,Vertex,837.3,2.7,True,Vertex Noise Cancelling Headphones 833Lite - Built with cutting-edge technology for superior experience. Perfect for office work.
119,Prime Noise Cancelling Headphones 193Max,Audio,Prime,88.91,1.8,True,Prime Noise Cancelling Headphones 193Max - Optimized for productivity and entertainment. Perfect for gaming.
120,Fusion Gaming Laptop 916X,Laptops,Fusion,1752.03,4.6,True,Fusion Gaming Laptop 916X - Designed for everyday performance and reliability. Perfect for office work.
121,Nimbus Smartphone 434Pro,Electronics,Nimbus,2978.96,1.1,False,Nimbus Smartphone 434Pro - Engineered for gamers and power users. Perfect for travel.
122,HyperX Running Shoes 238Max,Footwear,HyperX,1842.43,4.3,False,HyperX Running Shoes 238Max - Premium build quality with advanced features. Perfect for office work.
123,NovaTech Running Shoes 391Pro,Footwear,NovaTech,2592.97,3.2,True,NovaTech Running Shoes 391Pro - Compact and lightweight for easy portability. Perfect for office work.
124,Zenith Drone 627X,Electronics,Zenith,259.47,2.0,True,Zenith Drone 627X - Premium build quality with advanced features. Perfect for office work.
125,Vertex Smartwatch 767Pro,Electronics,Vertex,2572.8,1.5,False,Vertex Smartwatch 767Pro - High durability with modern aesthetics. Perfect for travel.
126,NovaTech Sneakers 626X,Footwear,NovaTech,1188.1,2.0,True,NovaTech Sneakers 626X - Premium build quality with advanced features. Perfect for office work.
127,HyperX Gaming Chair 243X,Gaming,HyperX,1175.96,1.4,False,HyperX Gaming Chair 243X - High durability with modern aesthetics. Perfect for travel.
128,NovaTech Camera 480X,Electronics,NovaTech,1745.79,1.3,True,NovaTech Camera 480X - Compact and lightweight for easy portability. Perfect for daily use.
129,Fusion Wireless Earbuds 152Lite,Audio,Fusion,417.8,3.4,False,Fusion Wireless Earbuds 152Lite - Built with cutting-edge technology for superior experience. Perfect for gaming.
130,Zenith Sneakers 576X,Footwear,Zenith,155.16,1.6,True,Zenith Sneakers 576X - High durability with modern aesthetics. Perfect for daily use.
131,HyperX Hiking Boots 459Max,Footwear,HyperX,1048.61,3.2,False,HyperX Hiking Boots 459Max - High durability with modern aesthetics. Perfect for travel.
132,Nimbus Sandals 525Lite,Footwear,Nimbus,2865.32,2.8,True,Nimbus Sandals 525Lite - Built with cutting-edge technology for superior experience. Perfect for daily use.
133,Orbit Sneakers 157S,Footwear,Orbit,2480.29,3.3,True,Orbit Sneakers 157S - Optimized for productivity and entertainment. Perfect for multimedia.
134,Vertex Webcam 106X,Peripherals,Vertex,2575.56,2.8,False,Vertex Webcam 106X - Comfortable ergonomic design with long-lasting battery life. Perfect for office work.
135,Prime 4K Monitor 212X,Peripherals,Prime,2044.02,1.7,True,Prime 4K Monitor 212X - High durability with modern aesthetics. Perfect for office work.
136,Zenith Smartphone 753Lite,Electronics,Zenith,1227.48,4.9,False,Zenith Smartphone 753Lite - Premium build quality with advanced features. Perfect for daily use.
137,Strive Noise Cancelling Headphones 290Lite,Audio,Strive,2222.98,3.5,False,Strive Noise Cancelling Headphones 290Lite - Engineered for gamers and power users. Perfect for gaming.
138,Strive Drone 327Lite,Electronics,Strive,1513.79,3.0,True,Strive Drone 327Lite - Comfortable ergonomic design with long-lasting battery life. Perfect for travel.
139,Pulse Smartwatch 749Lite,Electronics,Pulse,2832.96,1.1,True,Pulse Smartwatch 749Lite - Premium build quality with advanced features. Perfect for gaming.
140,Eclipse Soundbar 554Max,Audio,Eclipse,1018.32,1.3,False,Eclipse Soundbar 554Max - High durability with modern aesthetics. Perfect for multimedia.
141,Pulse Webcam 212S,Peripherals,Pulse,952.37,2.5,False,Pulse Webcam 212S - Compact and lightweight for easy portability. Perfect for multimedia.
142,Prime Running Shoes 366X,Footwear,Prime,1863.29,2.3,True,Prime Running Shoes 366X - Premium build quality with advanced features. Perfect for travel.
143,Prime Webcam 325S,Peripherals,Prime,2781.74,4.1,False,Prime Webcam 325S - Designed for everyday performance and reliability. Perfect for office work.
144,Orbit Sandals 107Max,Footwear,Orbit,2435.39,1.9,False,Orbit Sandals 107Max - Comfortable ergonomic design with long-lasting battery life. Perfect for multimedia.
145,Pulse Ultrabook 747Lite,Laptops,Pulse,1631.12,2.8,True,Pulse Ultrabook 747Lite - Premium build quality with advanced features. Perfect for gaming.
146,Orbit Wireless Earbuds 761S,Audio,Orbit,2870.18,1.3,False,Orbit Wireless Earbuds 761S - Designed for everyday performance and reliability. Perfect for daily use.
147,Prime Gaming Mouse 165Pro,Peripherals,Prime,2702.0,4.6,True,Prime Gaming Mouse 165Pro - Designed for everyday performance and reliability. Perfect for office work.
148,HyperX Soundbar 210X,Audio,HyperX,2950.68,3.9,False,HyperX Soundbar 210X - High durability with modern aesthetics. Perfect for office work.
149,Orbit Business Laptop 915X,Laptops,Orbit,1637.71,5.0,False,Orbit Business Laptop 915X - Built with cutting-edge technology for superior experience. Perfect for daily use.
150,CoreX Bluetooth Speaker 329X,Audio,CoreX,2982.66,4.3,False,CoreX Bluetooth Speaker 329X - Optimized for productivity and entertainment. Perfect for office work.
151,Volt Gaming Chair 141Pro,Gaming,Volt,2989.48,2.4,True,Volt Gaming Chair 141Pro - Optimized for productivity and entertainment. Perfect for gaming.
152,Prime Wireless Earbuds 283Lite,Audio,Prime,815.54,1.3,False,Prime Wireless Earbuds 283Lite - Optimized for productivity and entertainment. Perfect for multimedia.
153,Orbit Smartphone 543Max,Electronics,Orbit,617.86,1.1,True,Orbit Smartphone 543Max - Compact and lightweight for easy portability. Perfect for office work.
154,HyperX Running Shoes 592Lite,Footwear,HyperX,2534.99,2.0,False,HyperX Running Shoes 592Lite - Compact and lightweight for easy portability. Perfect for daily use.
155,Fusion Smartwatch 918Max,Electronics,Fusion,1694.74,3.7,True,Fusion Smartwatch 918Max - Optimized for productivity and entertainment. Perfect for travel.
156,CoreX Webcam 383S,Peripherals,CoreX,1851.12,1.2,True,CoreX Webcam 383S - Optimized for productivity and entertainment. Perfect for office work.
157,Nimbus Webcam 207Lite,Peripherals,Nimbus,1165.14,4.5,True,Nimbus Webcam 207Lite - Compact and lightweight for easy portability. Perfect for multimedia.
158,Nimbus Hiking Boots 531Pro,Footwear,Nimbus,761.65,3.9,False,Nimbus Hiking Boots 531Pro - Compact and lightweight for easy portability. Perfect for daily use.
159,Fusion Sneakers 753S,Footwear,Fusion,2473.28,3.6,True,Fusion Sneakers 753S - Engineered for gamers and power users. Perfect for travel.
160,Eclipse VR Headset 205Lite,Gaming,Eclipse,2760.36,3.6,True,Eclipse VR Headset 205Lite - Premium build quality with advanced features. Perfect for travel.
161,Volt Hiking Boots 326Lite,Footwear,Volt,550.81,1.9,True,Volt Hiking Boots 326Lite - High durability with modern aesthetics. Perfect for office work.
162,CoreX Smartwatch 151Pro,Electronics,CoreX,474.74,3.9,False,CoreX Smartwatch 151Pro - Engineered for gamers and power users. Perfect for office work.
163,Eclipse Hiking Boots 587X,Footwear,Eclipse,1767.31,3.2,False,Eclipse Hiking Boots 587X - Engineered for gamers and power users. Perfect for daily use.
164,Quantum Tablet 374X,Electronics,Quantum,1473.65,1.0,True,Quantum Tablet 374X - Compact and lightweight for easy portability. Perfect for multimedia.
165,CoreX Backpack 523X,Accessories,CoreX,441.96,1.3,True,CoreX Backpack 523X - Built with cutting-edge technology for superior experience. Perfect for office work.
166,NovaTech Ultrabook 999S,Laptops,NovaTech,1910.06,4.4,True,NovaTech Ultrabook 999S - Premium build quality with advanced features. Perfect for multimedia.
167,Orbit VR Headset 880Max,Gaming,Orbit,2509.44,4.5,True,Orbit VR Headset 880Max - Compact and lightweight for easy portability. Perfect for office work.
168,Strive Gaming Console 457X,Gaming,Strive,2491.58,3.0,False,Strive Gaming Console 457X - Optimized for productivity and entertainment. Perfect for daily use.
169,NovaTech Wireless Earbuds 442Max,Audio,NovaTech,2901.35,2.1,False,NovaTech Wireless Earbuds 442Max - High durability with modern aesthetics. Perfect for multimedia.
170,Fusion Gaming Mouse 205Pro,Peripherals,Fusion,56.49,3.7,False,Fusion Gaming Mouse 205Pro - High durability with modern aesthetics. Perfect for multimedia.
171,Nimbus Gaming Mouse 722X,Peripherals,Nimbus,1174.99,4.0,True,Nimbus Gaming Mouse 722X - Designed for everyday performance and reliability. Perfect for multimedia.
172,Volt Bluetooth Speaker 666X,Audio,Volt,501.37,2.6,True,Volt Bluetooth Speaker 666X - Comfortable ergonomic design with long-lasting battery life. Perfect for multimedia.
173,NovaTech Controller 423X,Gaming,NovaTech,1773.68,3.8,False,NovaTech Controller 423X - High durability with modern aesthetics. Perfect for office work.
174,Quantum Gaming Mouse 416S,Peripherals,Quantum,1656.75,3.6,False,Quantum Gaming Mouse 416S - Compact and lightweight for easy portability. Perfect for office work.
175,Nimbus Smartwatch 354Max,Electronics,Nimbus,1605.71,4.6,True,Nimbus Smartwatch 354Max - Optimized for productivity and entertainment. Perfect for office work.
176,Fusion Business Laptop 588Max,Laptops,Fusion,2539.88,4.8,True,Fusion Business Laptop 588Max - Built with cutting-edge technology for superior experience. Perfect for daily use.
177,Volt Gaming Mouse 724Lite,Peripherals,Volt,1575.43,1.3,True,Volt Gaming Mouse 724Lite - Compact and lightweight for easy portability. Perfect for multimedia.
178,Aero Phone Case 880Pro,Accessories,Aero,534.09,3.9,True,Aero Phone Case 880Pro - Built with cutting-edge technology for superior experience. Perfect for travel.
179,Eclipse Gaming Chair 104Max,Gaming,Eclipse,2024.83,4.3,True,Eclipse Gaming Chair 104Max - Compact and lightweight for easy portability. Perfect for daily use.
180,Pulse Ultrabook 741Lite,Laptops,Pulse,1654.77,3.7,False,Pulse Ultrabook 741Lite - Designed for everyday performance and reliability. Perfect for multimedia.
181,Quantum Webcam 325S,Peripherals,Quantum,1447.52,4.5,False,Quantum Webcam 325S - Comfortable ergonomic design with long-lasting battery life. Perfect for gaming.
